address,first_action_iso_date,tzkt_info_name,mint_count,bought_count,bought_prices_avg,author_sold_count,author_sold_prices_avg,secondary_sold_count,secondary_sold_prices_avg,available_count,available_prices_avg,money_received,money_sent,ratio
tz1S5WxdZR5f9NzsPXhr7L9L1vrEb5spZFur,2021-02-28 14:42:45+00:00,Baking Benjamins,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.1723,
tz1UBZUkXpKGhYsP5KtzDNqLLchwF4uHrGjw,2021-02-28 14:42:45+00:00,,13,111,7.928389602150538,3,1.5,0,0.0,0,0.0,16979.241867998968,6479.340233,inf
KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton,2021-03-01 01:59:41+00:00,Hic et nunc NFTs,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,
KT1AFA2mwNUMNd4SsujE1YYp29vd8BZejyKW,2021-03-01 02:00:41+00:00,hDAO,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,
KT1TybhR7XraG75JFYKSrh7KnxukMBT5dor6,2021-03-01 02:01:41+00:00,OBJKT-hDAO Curation,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,
KT1Hkg5qeNhfwpKW4fXvq7HGZB9z2EnmCCA9,2021-03-01 02:04:41+00:00,Hic et nunc Minter,0,0,0.0,0,0.0,0,0.0,0,0.0,685298.7291249929,679104.27599201,
tz1Zz4MmtM6mpzh5XWiAEXGeP9iWsT7PSmzg,2021-03-01 09:58:07+00:00,,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,
tz2G5SBeAJVbiE1icji3P59Lx8EvcwMLEHp3,2021-03-01 10:37:07+00:00,sintang_ligalig,3368,277,1.9042764942528727,353,6.391305652173914,27,1.96,432,11.01613425925926,721.5251440000011,165.67205499999997,3.2608702307009767
tz1ZdMfzmWLb8mu22jE7rZ8Y3t9iKezM68cq,2021-03-01 11:17:07+00:00,KOSHA,1391,288,2.9566514150943397,643,6.01592,3,4.5,583,18.16607784431137,1509.7554999999977,636.8100999999998,1.3368711111111111
tz1Rux3pGrp2KpZUBKvg3VQ4edRYVJsapr4z,2021-03-01 11:20:07+00:00,,70,34,7.29764705882353,20,0.75,0,0.0,11,5.0,18.369538,126.126158,inf
tz1hb9PiWxQEf6J9xevPsUM6dkuCLnhDMvsp,2021-03-01 12:15:07+00:00,Mario Klingemann,4338,264,22.027831185344823,2348,17.621048257372657,52,20.75394736842105,1447,16.4545196959226,12952.121954999977,5110.456834999999,0.8490456270591024
tz1hkNPg5jQ66pJpZH2boiF5AnbAcd1dt5KS,2021-03-01 12:19:07+00:00,,9,0,0.0,1,0.0001,0,0.0,3,400.0,9.7e-05,0.0,inf
tz1N33TtiYBQ67sw32rhCsMSVpZkrSHWe9aq,2021-03-01 13:01:07+00:00,,0,44,55.67317317073171,0,0.0,0,0.0,0,0.0,0.0,2282.6001,
tz1QRm2TJKnarZ9tbL5CNjN4Ltq9pJtytuk7,2021-03-01 13:20:07+00:00,,26,2,1.0,0,0.0,0,0.0,21,21.0809523809524,0.0,1.407804,
tz1U2wsJgebEvS6CZYXn1mjErRU5mSZ2ZS1Z,2021-03-01 13:27:07+00:00,Tais Koshino,2219,156,2.045508196721312,612,2.640845070422535,12,4.0175,1541,2.5854704737183645,500.5460000000007,125.77600000000002,0.6573354251207305
tz1PYqfNnkpZydtSY2Tn3Rv8mjkgUpHJpFXC,2021-03-01 13:54:07+00:00,Qartsi,712,63,7.5,172,52.013333333333335,2,1.995,42,36.35833333333333,913.233,87.5,26.071846282372597
tz1XaLRi6i8qNDa4KyNjQcxFvFDDs8xi7nr1,2021-03-01 14:14:47+00:00,,0,2,1.5,0,0.0,0,0.0,0,0.0,0.0,8.0,
tz1bhMc5uPJynkrHpw7pAiBt6YMhQktn7owF,2021-03-01 14:18:27+00:00,,68,4,3342.0,5,3.8,0,0.0,40,3.275,135.741206,20342.762462,inf
tz1Qw7r9P5NDVm7KwAKQGFXGPpqH5RgDPYQx,2021-03-01 14:33:27+00:00,,233,56,13.944444444444445,2,2.55,0,0.0,164,1.7060975609756233,4.9725,376.5,inf
tz1XYh8aN8MdCGKKhKgKwuT1duedWn22hqBt,2021-03-01 14:56:27+00:00,,0,1,5.0,0,0.0,0,0.0,0,0.0,0.0,5.0,
tz2BY6RzeE9AWpjKydQnpE7wp3dtCMogU11D,2021-03-01 15:25:07+00:00,apol_stamaria,679,7,2.75,29,10.275862068965518,0,0.0,606,5.214521452145214,290.54999999999995,11.0,inf
tz1ae2d1BJt7YUqaaec6Xenh3mBqS7VjSZtK,2021-03-01 15:35:07+00:00,Yoeshi,2754,22,1.8152222222222223,253,3.193182159090909,1,50.0,1926,0.900911546252532,327.716153,47.007000000000005,0.06386364318181818
tz1cUxXMjVeGYThU7JhwN1Z4pxneftxgAkTV,2021-03-01 16:03:07+00:00,,3,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,
tz1dPPVGVRxY45ZvnRMU3vebaBVMuhPq5bxh,2021-03-01 16:06:07+00:00,,7,0,0.0,1,5.0,0,0.0,5,14.6,4.875,0.0,inf
tz1LN3wPFYuS5fCnodwxT94xVFLPtcFHvcHk,2021-03-01 16:09:07+00:00,,1,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,
tz1S2YCqqbddiWtFeiRXLUKcdAw5AXc66w8p,2021-03-01 16:10:07+00:00,,1,2,0.5,0,0.0,0,0.0,0,0.0,0.0,0.5,
tz1a92ZVmHDSqZ2dYbcrTZG9baK7bXSMRazZ,2021-03-01 16:25:07+00:00,,12,108,2.936419767441861,1,25.0,0,0.0,5,2.5,484.86862,1363.3145230000002,inf
tz1codeYURj5z49HKX9zmLHms2vJN2qDjrtt,2021-03-01 16:39:07+00:00,,10,0,0.0,1,10.0,0,0.0,9,10.0,9.75,0.0,inf
tz1N49xt8AxtPDyD2ugB6n64XfEzgYf73Pie,2021-03-01 16:51:47+00:00,,1292,364,1.7524373025936602,5,1.0166666666666666,0,0.0,1035,0.4469082125603974,2.97375,608.0957440000001,inf
tz1eee5rapGDbq2bcZYTQwNbrkB4jVSQSSHx,2021-03-01 16:57:47+00:00,,0,31,781.0625041666666,0,0.0,0,0.0,0,0.0,739.9057760000001,19395.174903,
tz1S4Sp3WtEz3MfdBjiaRWEAG3ZDSngAR5L6,2021-03-01 17:33:47+00:00,,104,0,0.0,0,0.0,0,0.0,4,51.5,0.016359,11.75,
tz1LovFrdT3D2uY5ijGnb16172szCqFazDCE,2021-03-01 17:35:47+00:00,,56,3,2.00001,1,5.0,0,0.0,2,100.0,4.875,6.00003,inf
tz1dxePVAGzSY7tvDX7U2sEfCu8Dk2YRGhpN,2021-03-01 17:38:47+00:00,,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,
tz2MkhsWEcgCsaXJgrXAiYJE8y72qZT3xfHe,2021-03-01 17:53:47+00:00,,307,33,1.3333333333333333,4,3.0,0,0.0,303,3.0,11.7,4.02,inf
tz1cW7NSbACRKyzYR8pgCvTtAH8qEnv6AX1J,2021-03-01 18:30:27+00:00,,1,0,0.0,1,5.0,0,0.0,0,0.0,4.875,0.0,inf
tz1Yoh9NmyM3FeG37iVQJs75nSW9REcuaAtR,2021-03-01 18:33:27+00:00,Rafael França,30,38,1.625,5,1.22,0,0.0,25,0.6760000000000005,7.185,13.0,inf
tz1WTb67VvXjMievFACoRZ7ABfvPkA9E9yjs,2021-03-01 18:42:27+00:00,,20022,0,0.0,4,1.0,0,0.0,2017,1.53495290034705,3.9,0.041203,inf
tz1PAoigCex9CcckWMimaWFAdKmN1AfwJ2Xa,2021-03-01 18:45:27+00:00,,10,0,0.0,0,0.0,0,0.0,10,10.0,0.0,0.0,
tz1SBxNvpDFC4bjW23CtQfVLqN5cBATVf68B,2021-03-01 19:12:07+00:00,,10,16,1.0,0,0.0,0,0.0,10,5.0,3.177746,9.126878,
tz1YcRfmH4JsdvLzzijq1mh4FXjoHmh2ANEQ,2021-03-01 19:29:47+00:00,,7,0,0.0,0,0.0,0,0.0,3,100.0,0.0,0.0,
tz1ZZh4haUFRkDiinEhEtnKvaBiGyfpZg4QP,2021-03-01 19:33:47+00:00,,77,0,0.0,33,31.363636363636363,0,0.0,37,50.35135135135136,1009.125,0.0,inf
tz2K5UyvaMuNgiy5Zy8yVspTW6oXmchGvSey,2021-03-01 20:30:27+00:00,Eclectic Method,34,21,8.444444444444445,31,31.967741935483872,0,0.0,1,150.0,966.2249999999996,152.0,inf
tz1UecmgMghaWovhh9EYfqTrK9gTtaiMtbzs,2021-03-01 20:58:27+00:00,CRYPTEMES,340,32,9.342857142857143,59,2.4482758620689653,2,1.0,224,4.285714285714286,69.42500000000001,133.8,2.4482758620689653
tz1V8LzTHVRmkUYKWU9nZmByTPNBSLQHj9Cb,2021-03-01 21:43:47+00:00,,2,0,0.0,0,0.0,0,0.0,1,100.0,0.0,0.0,
tz1Nu2Yn97X43BJyrBEcZ4kUNDw795NeHUWa,2021-03-01 21:58:47+00:00,,10,2,4.0,0,0.0,0,0.0,5,10.0,0.0,8.0,
tz1bDvDxGjSjUnJ1qp5eHq2Lbd4F8pSZeuaZ,2021-03-01 23:06:47+00:00,Silviu Visan ,315,7,1.0,8,2.625,0,0.0,308,6.201298701298701,20.475,2.0,inf
tz1fKTtok4A2DR76HVbj9RZuCczTyt1HgYEo,2021-03-01 23:21:47+00:00,Gasparian Ted,176,63,2.569230769230769,68,11.08695652173913,0,0.0,95,5.030526315789474,257.95,66.8,inf
tz1b5Hf38KiwyChsXP75yvxzckEYaH2qPeu5,2021-03-01 23:47:47+00:00,,51,0,0.0,2,37.5,0,0.0,6,39.0,73.125,0.0,inf
tz1Rb2U9TbEkYVQM412wBzBbMbnqX2r4CTXs,2021-03-02 00:19:47+00:00,,104,0,0.0,0,0.0,0,0.0,0,0.0,0.0,3.5,
tz1MkstMV99nRE1PdAatkpwUevtDf5KkJn4Z,2021-03-02 00:28:47+00:00,Kiko Gasparian,11289,36,1.285,149,2.8124488367346925,0,0.0,11024,0.8441654570933442,139.714743,12.85,inf
tz1Ypw11bAMAkkrwwEUXgAHqTBKeRjbbmmbe,2021-03-02 01:30:47+00:00,LAMA,208,59,2.2265217391304346,122,5.590909090909091,2,4.0,91,3.7494505494505495,120.72499999999997,51.21,1.3977272727272727
tz2FUizrqLho83WcPoGBst9dPyuSUaMVoRp6,2021-03-02 01:37:47+00:00,,10001,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,
tz1NkFRjmkqqcGkAhqe78fdgemDNKXvL7Bod,2021-03-02 01:47:47+00:00,BakeMyStake,0,16,4.178571428571429,0,0.0,0,0.0,0,0.0,8.7,58.5,
tz1ctJighHo6XN64YEmrHy3Fharv7SdkXV99,2021-03-02 02:15:47+00:00,,1050,4,7.75,0,0.0,0,0.0,121,5.537190082644628,0.0,31.0,
tz1PLXrCSPxJzDt3rbf9g8f2cphd22KLnPE9,2021-03-02 02:15:47+00:00,,4,0,0.0,0,0.0,0,0.0,3,274.0,0.0,0.0,
tz1gKUR2yyHYEuj2GLqydgfzA3zq9HESjpLF,2021-03-02 03:28:27+00:00,GUST,301,87,1.775,132,4.142857142857143,3,1.95,160,4.442125,57.075,7.1,2.124542124542125
tz29us8pNRFUbsMMuQjBGZyWndBGTFtGdLBW,2021-03-02 04:44:35+00:00,,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,
tz1YRG68NdqtAcsFEwTUw6FsSsiBb5kagEDo,2021-03-02 06:16:35+00:00,Django Bits,1011,768,7.495843416534179,35,24.55555555555556,0,0.0,0,0.0,424.123727,5203.904439999998,inf
tz1drEV5soQL85qJMNts3JfkgZxD1oL88gsh,2021-03-02 07:25:35+00:00,,20,16,3.5809809285714285,0,0.0,0,0.0,20,5.0,0.0,50.133733,
tz1NnocCetPcTzSgj1PWJSP4nzYBx5VCkHQ1,2021-03-02 07:45:35+00:00,,25,0,0.0,9,15.0,0,0.0,15,100.0,131.625,0.0,inf
tz1PrdiHD3Ys28bHXVGXQ3VbiLAChe58bzt1,2021-03-02 08:21:15+00:00,,15,4,4.0,4,7.25,0,0.0,10,9.2,28.275,12.0,inf
tz1efcNMdHxSrMPiSeLFrbdUQr8eWwWJmGnW,2021-03-02 08:35:15+00:00,,294,0,0.0,21,8.68421052631579,0,0.0,120,5.291666666666667,160.87500000000014,0.0,inf
tz2DwheXFyyXs3CkruSpkkEnqYb7yWkhnneC,2021-03-02 10:12:15+00:00,FUX,1136,2,2.0,183,7.26775956284153,5,18.1,848,9.408018867924527,1304.8500000000004,2.0,0.40153367750505686
tz1WntXgznbivRjyhE7Y5jEzoebAhMPB2iJa,2021-03-02 10:17:15+00:00,Tezzieland Payouts,100,402,9.42335570469799,6,0.5,1,0.2,0,0.0,221.12943800000005,1633.3396630000002,2.5
tz1PqPDcTYszaCqEXp8CDcAb5JYGFRMMu8X1,2021-03-02 10:34:15+00:00,FORA DE COMPASSO,1759,73,1.449387755102041,340,1.6757083333333327,5,5.548,269,8.391446096654276,402.16374999999874,71.02000000000001,0.30203827204998784
tz1fCHiWZ3ReGqvhxkMejVzcnXYz1rnsJpow,2021-03-02 10:45:15+00:00,,0,153,29.61071428571428,0,0.0,0,0.0,0,0.0,0.0,3738.7199999999993,
tz1WidyAU8wuyG25Pd7b93bcx9hMu7W9Pea8,2021-03-02 11:16:15+00:00,Veqtor,10627,56,5.14936170212766,94,4.826559550561797,2,55.0,936,12.761697008547122,548.7947010000004,409.322898,0.08775562819203267
tz1bz2aATXb6VQco3CqmEnrxtJSwYUoHAZqG,2021-03-02 11:49:15+00:00,,24,0,0.0,0,0.0,0,0.0,22,23.181818636363637,0.0,0.0,
tz1dg7mtTtYUNXAFMbWmVB1Aw9wwF7umT7Hy,2021-03-02 12:00:15+00:00,Carsten Bund,2094,80,2.584067796610169,279,1.619047619047619,3,1.663333333333333,346,6.273413173652696,66.79900000000002,155.46,0.973375322072717
